FPS,Latency,Graph,TotalParts,PartitionPoint1,PartitionPoint2,Order,InferenceTime1,InferenceTime2,InferenceTime3
1.23478,2142.25,resnet50,18,10,14,L-G-B,809.861,92.5719,77.0058
2.53185,937.204,resnet50,18,4,14,L-G-B,394.965,193.286,79.0503
3.00882,920.857,resnet50,18,4,8,L-G-B,332.355,71.557,154.963
2.59155,925.486,resnet50,18,4,11,L-G-B,385.867,145.903,112.095
1.6775,1543.09,resnet50,18,7,14,L-G-B,596.121,129.155,77.7872
1.64205,1526.9,resnet50,18,7,11,L-G-B,608.992,98.3582,109.055
0.811827,1231.79,resnet50,18,18,18,L-B-G,1231.79,0,0
1.10021,2451.95,resnet50,18,10,14,L-B-G,908.914,246.793,103.721
2.02447,1328.94,resnet50,18,4,14,L-B-G,493.952,462.129,98.3617
2.35135,1195.95,resnet50,18,4,8,L-B-G,425.286,211.595,184.028
1.93324,1335.29,resnet50,18,4,11,L-B-G,517.265,448.928,133.286
1.25461,1923.43,resnet50,18,7,14,L-B-G,797.057,471.2,104.58
1.38523,1863.43,resnet50,18,7,11,L-B-G,721.901,285.099,137.657
19.4762,51.3447,squeezenet,19,19,19,G-B-L,50.9683,00,0 ms
9.1914,181.105,squeezenet,19,9,14,G-B-L,34.2725,34.8525,108.675
9.18974,215.065,squeezenet,19,5,14,G-B-L,25.2101,79.2843,108.72
6.17577,238.67,squeezenet,19,5,10,G-B-L,25.7692,49.468,161.84
7.43845,225.15,squeezenet,19,5,12,G-B-L,26.174,63.0166,134.352
9.12481,187.426,squeezenet,19,7,14,G-B-L,32.0869,43.0649,109.489
7.30326,199.621,squeezenet,19,7,12,G-B-L,31.184,27.4158,136.84
20.2685,49.3376,squeezenet,19,19,19,G-L-B,49.0075,0,0
15.2329,159.251,squeezenet,19,9,14,G-L-B,32.662,65.1297,18.3377
6.07736,338.816,squeezenet,19,5,14,G-L-B,23.7008,163.605,16.9072
9.05297,238.06,squeezenet,19,5,10,G-L-B,25.7614,109.475,28.6136
7.32273,284.047,squeezenet,19,5,12,G-L-B,22.5674,135.652,22.2879
12.1328,189.929,squeezenet,19,7,14,G-L-B,31.4292,81.8855,18.2711
18.2073,138.227,squeezenet,19,7,12,G-L-B,30.7208,54.4506,25.7675
13.8585,72.1579,squeezenet,19,19,19,B-G-L,72.1571,0,0
9.02979,205.327,squeezenet,19,9,14,B-G-L,48.7376,23.9525,110.627
9.09718,181.272,squeezenet,19,5,14,B-G-L,37.0162,27.853,109.811
6.11392,231.233,squeezenet,19,5,10,B-G-L,34.51,24.4952,163.48
7.32647,204.257,squeezenet,19,5,12,B-G-L,34.9663,21.7552,136.411
8.97042,202.373,squeezenet,19,7,14,B-G-L,46.5947,28.8625,111.37
7.23368,225.513,squeezenet,19,7,12,B-G-L,45.1772,18.8978,138.156
13.766,72.643,squeezenet,19,19,19,B-L-G,72.6421,0,0
15.679,183.697,squeezenet,19,9,14,B-L-G,63.7782,39.0755,40.148
11.6359,213.242,squeezenet,19,5,14,B-L-G,46.8249,85.1245,41.7045
16.3256,167.886,squeezenet,19,5,10,B-L-G,49.2388,60.3584,30.6592
13.4075,192.257,squeezenet,19,5,12,B-L-G,48.1834,73.7423,46.0418
15.486,187.425,squeezenet,19,7,14,B-L-G,64.5729,47.4648,42.4393
17.2337,166.146,squeezenet,19,7,12,B-L-G,58.0245,28.5977,28.9988
2.29344,436.026,squeezenet,19,19,19,L-G-B,436.025,0,0
3.69061,762.626,squeezenet,19,9,14,L-G-B,270.956,22.0085,19.3809
5.89567,480.539,squeezenet,19,5,14,L-G-B,169.614,41.129,17.0933
5.8965,479.664,squeezenet,19,5,10,L-G-B,169.59,22.9083,27.9204
5.89933,479.811,squeezenet,19,5,12,L-G-B,169.509,31.9371,22.329
3.91619,719.419,squeezenet,19,7,14,L-G-B,255.348,26.7347,16.8342
3.93195,715.97,squeezenet,19,7,12,L-G-B,254.325,17.8537,22.4484
2.29074,436.541,squeezenet,19,19,19,L-B-G,436.539,0,0
3.40047,826.983,squeezenet,19,9,14,L-B-G,294.075,57.4643,40.1663
4.25771,659.411,squeezenet,19,5,14,L-B-G,234.866,171.924,40.1437
4.67942,602.077,squeezenet,19,5,10,L-B-G,213.7,116.558,58.5416
4.44538,632.265,squeezenet,19,5,12,L-B-G,224.951,143.401,49.5653
3.50118,803.744,squeezenet,19,7,14,L-B-G,285.616,78.6106,40.4868
3.63676,773.859,squeezenet,19,7,12,L-B-G,274.968,49.3031,49.3458
